Exercise Name,Muscle Group Tag,Set 1,Weight 1,Set 2,Weight 2,Set 3,Weight 3,Set 4,Weight 4,Total Effort Calculation
Hack Squat Machine,Quads,8,150,8,175,8,200,7,205,0
Bulgarian Split Squats,Quads,10,60,10,60,10,60,,,0
Landmine Squats,Quads,12,50,12,50,12,50,,,0
Leg Extensions,Quads,14,115,12,115,95,15,95,14,0
Isolateral Flat Press,Chest,,,,,,,,,0
Incline DB Press,Chest,,,,,,,,,0
Cable Chest Fly,Chest,,,,,,,,,0
Cable Triceps Pushdowns,Triceps,,,,,,,,,0
Overhead Cable Extensions,Triceps,,,,,,,,,0
Lateral Raises,Shoulders,,,,,,,,,0
Lat Pulldown,Lats,,,,,,,,,0
Kneeling 1-Arm Cable Row,Lats,,,,,,,,,0
Chest-Supported Row,Upper Back,,,,,,,,,0
Straight Arm Cable Pulldown,Lats,,,,,,,,,0
Hammer Curls,Biceps,,,,,,,,,0
Spider Curls,Biceps,,,,,,,,,0
Seated DB Shoulder Press,Shoulders,,,,,,,,,0
DB Lateral Raise,Shoulders,,,,,,,,,0
Cable Lateral Raise,Shoulders,,,,,,,,,0
Face Pulls,Rear Delts,,,,,,,,,0
Cable Rear Delt Pull,Rear Delts,,,,,,,,,0
Incline Chest Press,Chest,,,,,,,,,0
Lateral Raise Drop Set,Shoulders,,,,,,,,,0
DB Romanian Deadlift,Hamstrings,,,,,,,,,0
Seated or Lying Hamstring Curl,Hamstrings,,,,,,,,,0
Nordic Curl (or substitute),Hamstrings,,,,,,,,,0
Straight-Arm Pulldown,Lats,,,,,,,,,0
Reverse Pec Deck,Upper Back,,,,,,,,,0
Hammer Curls,Biceps,,,,,,,,,0
Spider Curls,Biceps,,,,,,,,,0
Cable Overhead Extensions,Triceps,,,,,,,,,0
Cable Pushdowns,Triceps,,,,,,,,,0
Standing Calf Raises,Calves,,,,,,,,,0
Donkey Calf Raises,Calves,,,,,,,,,0
