Exercise Name,Muscle Group Tag,Set 1,Weight 1,Set 2,Weight 2,Set 3,Weight 3,Set 4,Weight 4,Total Effort Calculation
Hack Squat Machine,Quads,8,150,8,175,8,200,7,205,0
Bulgarian Split Squats,Quads,10,60,10,60,10,60,,,0
Landmine Squats,Quads,12,50,12,50,12,50,,,0
Leg Extensions,Quads,14,115,12,115,95,15,95,14,0
Isolateral Flat Press,Chest,13,168,7,109,11,226,11,105,0
Incline DB Press,Chest,11,160,11,226,12,172,9,118,0
Cable Chest Fly,Chest,8,148,6,132,6,133,14,118,0
Cable Triceps Pushdowns,Triceps,11,236,12,241,11,101,15,129,0
Overhead Cable Extensions,Triceps,10,248,14,232,13,222,14,158,0
Lateral Raises,Shoulders,8,171,10,186,11,197,10,244,0
Lat Pulldown,Lats,11,121,11,121,8,103,,,0
Kneeling 1-Arm Cable Row,Lats,13,205,7,217,15,122,,,0
Chest-Supported Row,Upper Back,6,190,14,222,7,186,,,0
Straight Arm Cable Pulldown,Lats,11,113,15,239,9,224,11,105,0
Hammer Curls,Biceps,13,160,14,121,10,118,9,132,0
Spider Curls,Biceps,9,139,13,197,12,208,15,210,0
Seated DB Shoulder Press,Shoulders,6,162,8,132,7,158,9,221,0
DB Lateral Raise,Shoulders,11,102,8,164,15,183,15,141,0
Cable Lateral Raise,Shoulders,13,231,15,213,15,136,10,144,0
Face Pulls,Rear Delts,14,157,8,120,,,,,0
Cable Rear Delt Pull,Rear Delts,7,213,9,127,,,,,0
Incline Chest Press,Chest,8,233,11,110,,,,,0
Lateral Raise Drop Set,Shoulders,15,234,14,201,14,120,13,110,0
DB Romanian Deadlift,Hamstrings,10,170,13,208,15,164,9,101,0
Seated or Lying Hamstring Curl,Hamstrings,11,176,7,162,10,219,11,152,0
Nordic Curl (or substitute),Hamstrings,7,199,15,177,6,221,6,147,0
Straight-Arm Pulldown,Lats,11,117,7,225,13,225,,,0
Reverse Pec Deck,Upper Back,7,143,15,201,14,191,12,187,0
Hammer Curls,Biceps,6,172,15,155,13,189,,,0
Spider Curls,Biceps,8,244,14,109,11,171,,,0
Cable Overhead Extensions,Triceps,11,129,8,226,9,162,11,246,0
Cable Pushdowns,Triceps,13,115,10,216,13,170,12,222,0
Standing Calf Raises,Calves,11,236,14,166,13,242,9,133,0
Donkey Calf Raises,Calves,15,209,13,245,9,174,7,185,0
